method_id,label,category,source,status,max_candidate_count,avg_candidate_count,min_candidate_count,num_claims,num_claims_with_evidence,missing_pool_claims,top_n,macro_recall,micro_recall,hit_any
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,300,0.5384199134199135,0.505091649694501,121
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,500,0.578030303030303,0.5539714867617108,125
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,1000,,,0
single_prf,PRF,single_sparse,round18/outputs/o_sparse/o_s3_prf/candidate_pool_prf_top500.json,ok,500,500.0,500,154,154,0,2000,,,0
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,1,0.08409090909090909,0.06109979633401222,30
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,3,0.10822510822510824,0.09164969450101833,41
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,5,0.16742424242424245,0.1425661914460285,53
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,10,0.22391774891774893,0.1975560081466395,65
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,20,0.29718614718614716,0.2708757637474542,82
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,32,0.34047619047619043,0.32382892057026474,93
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,50,0.3854978354978355,0.3625254582484725,104
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,64,0.4127705627705628,0.3869653767820774,106
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,100,0.4637445887445888,0.4378818737270876,119
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,200,0.5361471861471861,0.5132382892057027,127
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,300,0.5950216450216451,0.5682281059063137,132
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,500,0.6579004329004329,0.6334012219959266,137
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,1000,,,0
s7_strict_rrf_equal_bm25_char,strict rrf equal bm25 char,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_top500_candidates.json,ok,500,500.0,500,154,154,0,2000,,,0
s7_strict_rrf_equal_bm25_char_structured_prf,strict rrf equal bm25 char structured prf,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_structured_prf_top500_candidates.json,ok,500,500.0,500,154,154,0,1,0.07445887445887446,0.05295315682281059,26
s7_strict_rrf_equal_bm25_char_structured_prf,strict rrf equal bm25 char structured prf,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_structured_prf_top500_candidates.json,ok,500,500.0,500,154,154,0,3,0.11764069264069264,0.09979633401221996,44
s7_strict_rrf_equal_bm25_char_structured_prf,strict rrf equal bm25 char structured prf,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_structured_prf_top500_candidates.json,ok,500,500.0,500,154,154,0,5,0.15357142857142855,0.1364562118126273,53
s7_strict_rrf_equal_bm25_char_structured_prf,strict rrf equal bm25 char structured prf,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_structured_prf_top500_candidates.json,ok,500,500.0,500,154,154,0,10,0.2220779220779221,0.20570264765784113,67
s7_strict_rrf_equal_bm25_char_structured_prf,strict rrf equal bm25 char structured prf,os7,round18/outputs/o_sparse/o_s7_plain_leaf_fusion/dev_full_dev_o_s7_plain_leaf_fusion_strict_rrf_equal_bm25_char_structured_prf_top500_candidates.json,ok,500,500.0,500,154,154,0,20,0.308008658008658,0.28105906313645623,85
